id_sample,TTI
0,1.05096
1,1.0584
2,1.0684
3,1.1767850000000002
4,1.1890399999999999
5,1.2134049999999998
6,1.1058750000000002
7,1.091005
8,1.093915
9,1.17766
10,1.239945
11,1.3273000000000001
12,1.769975
13,1.7481400000000002
14,1.826565
15,1.8926850000000002
16,1.94382
17,1.685175
18,1.1771150000000001
19,1.187535
20,1.22593
21,1.10742
22,1.13448
23,1.13936
24,1.47086
25,1.4256250000000001
26,1.4490750000000001
27,1.1367150000000001
28,1.1286800000000001
29,1.121115
30,1.604885
31,1.6184599999999998
32,1.6892
33,1.74356
34,1.782365
35,1.76036
36,1.6885750000000002
37,1.647905
38,1.594405
39,1.250955
40,1.226205
41,1.1966100000000002
42,1.06032
43,1.0676649999999999
44,1.071305
45,1.16418
46,1.1606
47,1.153795
48,1.129725
49,1.125765
50,1.1357
51,1.3731149999999999
52,1.39038
53,1.45694
54,1.607185
55,1.660435
56,1.6749300000000003
57,1.73564
58,1.750845
59,1.74664
60,1.3913250000000001
61,1.4356499999999999
62,1.35982
63,1.174015
64,1.1927850000000002
65,1.216125
66,1.36964
67,1.37832
68,1.3736650000000001
69,1.1430349999999998
70,1.1261100000000002
71,1.1457549999999999
72,1.546455
73,1.6433
74,1.641165
75,1.26845
76,1.2224599999999999
77,1.21051
78,1.222945
79,1.19018
80,1.17443
81,1.1393049999999998
82,1.1416
83,1.13362
84,1.128005
85,1.119695
86,1.1307900000000002
87,1.165405
88,1.16055
89,1.1755149999999999
90,1.1538499999999998
91,1.153925
92,1.1440800000000002
93,1.18188
94,1.1795149999999999
95,1.183125
96,1.22179
97,1.204685
98,1.206175
99,1.35673
100,1.29035
101,1.28415
102,1.23602
103,1.23001
104,1.2299099999999998
105,1.10134
106,1.1164800000000001
107,1.1145550000000002
108,1.18283
109,1.1677650000000002
110,1.17278
111,1.1512449999999999
112,1.1371
113,1.11862
114,1.19438
115,1.1965599999999998
116,1.1983350000000002
117,1.286975
118,1.23033
119,1.2250299999999998
120,1.2893999999999999
121,1.28335
122,1.23104
123,1.19318
124,1.18116
125,1.189465
126,1.1274
127,1.1406450000000001
128,1.1380649999999999
129,1.17676
130,1.169035
131,1.1749049999999999
132,1.188295
133,1.17938
134,1.1769
135,1.321605
136,1.32181
137,1.358115
138,1.180755
139,1.17177
140,1.192645
141,1.229015
142,1.233615
143,1.2229700000000001
144,1.212475
145,1.19786
146,1.212315
147,1.09466
148,1.08616
149,1.0867149999999999
150,1.1437
151,1.14879
152,1.1500949999999999
153,1.169225
154,1.1637
155,1.1517300000000001
156,1.30051
157,1.475565
158,1.4218899999999999
159,1.222025
160,1.193105
161,1.19705
162,1.2085949999999999
163,1.22359
164,1.220275
165,1.28929
166,1.3069600000000001
167,1.36999
168,1.0876350000000001
169,1.094525
170,1.0909900000000001
171,1.17387
172,1.161985
173,1.168695
174,1.158755
175,1.1419899999999998
176,1.1464949999999998
177,1.17972
178,1.169405
179,1.17879
180,1.246225
181,1.22382
182,1.241485
183,1.3034599999999998
184,1.317275
185,1.305335
186,1.22728
187,1.239015
188,1.258155
189,1.120525
190,1.1229
191,1.13633
192,1.187685
193,1.174935
194,1.1783450000000002
195,1.133185
196,1.117835
197,1.1260400000000002
198,1.201025
199,1.210715
200,1.2155
201,1.20058
202,1.2022249999999999
203,1.20739
204,1.1971150000000002
205,1.198775
206,1.1985100000000002
207,1.170925
208,1.1622400000000002
209,1.1955
210,1.501255
211,1.475315
212,1.477
213,1.660695
214,1.73359
215,1.786005
216,1.835295
217,1.840905
218,1.844095
219,2.411715
220,2.308375
221,2.18489
222,1.9877950000000002
223,1.933945
224,1.82902
225,1.8618299999999999
226,1.83826
227,1.94771
228,1.7147649999999999
229,1.785135
230,1.89014
231,1.4374250000000002
232,1.4966
233,1.4870549999999998
234,1.9310450000000001
235,2.0327
236,2.090095
237,2.3712400000000002
238,2.371765
239,2.115165
240,4.940785
241,4.99125
242,5.347580000000001
243,4.31979
244,3.67852
245,2.910305
246,2.6747900000000002
247,2.6564449999999997
248,2.657695
249,1.75969
250,1.91742
251,2.1247350000000003
252,1.05096
253,1.0584
254,1.0684
255,1.1767850000000002
256,1.1890399999999999
257,1.2134049999999998
258,1.1058750000000002
259,1.091005
260,1.093915
261,1.17766
262,1.239945
263,1.3273000000000001
264,1.769975
265,1.7481400000000002
266,1.826565
267,1.8926850000000002
268,1.94382
269,1.685175
270,1.1771150000000001
271,1.187535
272,1.22593
273,1.10742
274,1.13448
275,1.13936
276,1.47086
277,1.4256250000000001
278,1.4490750000000001
279,1.1367150000000001
280,1.1286800000000001
281,1.121115
282,1.604885
283,1.6184599999999998
284,1.6892
285,1.74356
286,1.782365
287,1.76036
288,1.6885750000000002
289,1.647905
290,1.594405
291,1.250955
292,1.226205
293,1.1966100000000002
294,1.06032
295,1.0676649999999999
296,1.071305
297,1.16418
298,1.1606
299,1.153795
300,1.129725
301,1.125765
302,1.1357
303,1.3731149999999999
304,1.39038
305,1.45694
306,1.607185
307,1.660435
308,1.6749300000000003
309,1.73564
310,1.750845
311,1.74664
312,1.3913250000000001
313,1.4356499999999999
314,1.35982
315,1.174015
316,1.1927850000000002
317,1.216125
318,1.36964
319,1.37832
320,1.3736650000000001
321,1.1430349999999998
322,1.1261100000000002
323,1.1457549999999999
324,1.546455
325,1.6433
326,1.641165
327,1.26845
328,1.2224599999999999
329,1.21051
330,1.222945
331,1.19018
332,1.17443
333,1.1393049999999998
334,1.1416
335,1.13362
336,1.128005
337,1.119695
338,1.1307900000000002
339,1.165405
340,1.16055
341,1.1755149999999999
342,1.1538499999999998
343,1.153925
344,1.1440800000000002
345,1.18188
346,1.1795149999999999
347,1.183125
348,1.22179
349,1.204685
350,1.206175
351,1.35673
352,1.29035
353,1.28415
354,1.23602
355,1.23001
356,1.2299099999999998
357,1.10134
358,1.1164800000000001
359,1.1145550000000002
360,1.18283
361,1.1677650000000002
362,1.17278
363,1.1512449999999999
364,1.1371
365,1.11862
366,1.19438
367,1.1965599999999998
368,1.1983350000000002
369,1.286975
370,1.23033
371,1.2250299999999998
372,1.2893999999999999
373,1.28335
374,1.23104
